ID;EDU_NAME;global_id;YEAR;AdmArea;District;PASSES_OVER_220;PASSER_UNDER_160
8236;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 390 имени генерала П.И. Батова»;797946035;2016-2017;Восточный административный округ;район Богородское;5;19
8237;Государственное казенное общеобразовательное учреждение города Москвы кадетская школа-интернат № 5 «Преображенский кадетский корпус»;797949150;2016-2017;Восточный административный округ;район Богородское;14;47
8238;Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»;797949275;2016-2017;Восточный административный округ;район Вешняки;0;1
8239;Частное учреждение общеобразовательная организация «Московская интернациональная школа «Планета»;797949425;2016-2017;Восточный административный округ;район Вешняки;0;6
8240;Автономная некоммерческая организация средняя Общеобразовательная школа «Колибри»;797949570;2016-2017;Восточный административный округ;район Восточное Измайлово;1;5
8241;Государственное бюджетное общеобразовательное учреждение города Москвы «школа № 664»;797949715;2016-2017;Восточный административный округ;район Восточный;8;27
8242;Государственное бюджетное образовательное учреждение города Москвы школа № 922;797949790;2016-2017;Восточный административный округ;район Ивановское;16;41
8243;Государственное бюджетное общеобразовательное учреждение города Москвы центр образования № 1483;797949791;2016-2017;Восточный административный округ;район Измайлово;2;7
8244;Общеобразовательная автономная некоммерческая организация «Лицей духовной культуры во имя преподобного Серафима Саровского»;797949792;2016-2017;Восточный административный округ;район Измайлово;0;0
8245;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1602»;797949793;2016-2017;Восточный административный округ;район Косино-Ухтомский;7;30
8246;Негосударственное частное учреждение общеобразовательная организация Церковно-приходская школа «Косинская»;797949794;2016-2017;Восточный административный округ;район Косино-Ухтомский;1;4
8247;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1324»;797949795;2016-2017;Восточный административный округ;район Новогиреево;24;76
8248;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1798 «Феникс»;797949796;2016-2017;Восточный административный округ;район Новогиреево;16;38
8249;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 920»;797949797;2016-2017;Восточный административный округ;район Перово;12;32
8250;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 429 «Соколиная гора»;797949798;2016-2017;Восточный административный округ;район Соколиная Гора;35;80
8251;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 3 (техникум)» Департамента физической культуры и спорта города Москвы»;797949926;2016-2017;Восточный административный округ;район Соколиная Гора;2;3
8252;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1726»;797950076;2016-2017;Западный административный округ;район Дорогомилово;14;32
8253;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 56 имени академика В.А. Легасова»;797950210;2016-2017;Западный административный округ;район Дорогомилово;12;35
8254;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 710 им. Народного учителя СССР В.К. Жудова»;797950372;2016-2017;Западный административный округ;район Дорогомилово;90;248
8255;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1133»;797950495;2016-2017;Западный административный округ;район Крылатское;3;21
8256;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1371 «Крылатское»;797950586;2016-2017;Западный административный округ;район Крылатское;22;54
8257;Частное учреждение средняя общеобразовательная школа «Олимп-Плюс»;797950743;2016-2017;Западный административный округ;район Кунцево;5;7
8258;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1596»;797950848;2016-2017;Западный административный округ;район Ново-Переделкино;19;45
8259;Государственное бюджетное общеобразовательное учреждение города Москвы «Центр спорта и образования «Олимп» Департамента физической культуры и спорта города Москвы;797950942;2016-2017;Западный административный округ;район Проспект Вернадского;2;11
8260;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1000»;797951048;2016-2017;Западный административный округ;район Солнцево;8;30
8261;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»;797951196;2016-2017;Западный административный округ;район Солнцево;20;60
8262;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»;797951320;2016-2017;Западный административный округ;район Тропарёво-Никулино;130;190
8263;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 875»;797951430;2016-2017;Западный административный округ;район Тропарёво-Никулино;14;49
8264;Частное образовательное учреждение средняя общеобразовательная школа «Ломоносовская школа»;797951569;2016-2017;Западный административный округ;район Фили-Давыдково;27;35
8265;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1739»;797951693;2016-2017;Зеленоградский административный округ;район Крюково;18;43
8266;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1353 имени генерала Д.Ф. Алексеева»;797951834;2016-2017;Зеленоградский административный округ;район Матушкино;32;54
8267;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1360»;797951940;2016-2017;Восточный административный округ;район Богородское;19;56
8268;Автономная некоммерческая организация общеобразовательная организация школа «Ирида»;797952081;2016-2017;Восточный административный округ;район Вешняки;0;2
8269;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1811 «Восточное Измайлово»;797952196;2016-2017;Восточный административный округ;район Восточное Измайлово;48;138
8270;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 368 «Лосиный остров»;797952317;2016-2017;Восточный административный округ;район Гольяново;15;31
8271;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1373»;797952450;2016-2017;Восточный административный округ;район Ивановское;10;36
8272;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1476»;797952548;2016-2017;Восточный административный округ;район Ивановское;2;17
8273;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 400»;797952657;2016-2017;Восточный административный округ;район Ивановское;2;19
8274;Частное учреждение средняя общеобразовательная школа «Кладезь»;797952794;2016-2017;Восточный административный округ;район Измайлово;2;6
8275;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1795 «Лосиноостровская»;797952901;2016-2017;Восточный административный округ;район Метрогородок;10;35
8276;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2093 имени А.Н. Савельева»;797952975;2016-2017;Восточный административный округ;район Новогиреево;0;10
8277;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1925»;797953067;2016-2017;Восточный административный округ;район Новокосино;20;28
8278;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»;797953171;2016-2017;Восточный административный округ;район Северное Измайлово;4;16
8279;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 67»;797953321;2016-2017;Западный административный округ;район Дорогомилово;91;111
8280;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1465 имени адмирала Н.Г. Кузнецова»;797953428;2016-2017;Западный административный округ;район Дорогомилово;13;40
8281;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»;797953579;2016-2017;Западный административный округ;район Крылатское;8;13
8282;Частное учреждение общеобразовательная организация «Медико-биологическая школа «Вита»;797953697;2016-2017;Западный административный округ;район Крылатское;1;2
8283;Частное учреждение общеобразовательная организация средняя общеобразовательная школа с углубленным изучением английского языка «Интеграция»;797953779;2016-2017;Западный административный округ;район Кунцево;4;10
8284;Частное учреждение общеобразовательная организация средняя общеобразовательная школа «Росинка»;797953937;2016-2017;Западный административный округ;Можайский район;4;9
8285;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1432»;797953986;2016-2017;Западный административный округ;район Ново-Переделкино;2;11
8286;Автономная некоммерческая организация Негосударственная общеобразовательная организация «Наши традиции»;797953987;2016-2017;Западный административный округ;район Раменки;2;3
8287;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1586»;797953988;2016-2017;Западный административный округ;район Раменки;16;50
8288;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 74»;797953989;2016-2017;Западный административный округ;район Раменки;2;6
8289;Автономная некоммерческая образовательная организация средняя общеобразовательная школа «Колледж-XXI»;797953990;2016-2017;Западный административный округ;район Солнцево;6;12
8290;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1347»;797953991;2016-2017;Западный административный округ;район Солнцево;30;72
8291;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1741»;797953992;2016-2017;Западный административный округ;район Тропарёво-Никулино;15;41
8292;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 72»;797953993;2016-2017;Западный административный округ;район Филёвский Парк;14;43
8293;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1589»;797953994;2016-2017;Западный административный округ;район Фили-Давыдково;11;19
8294;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1248»;797954127;2016-2017;Западный административный округ;район Фили-Давыдково;27;56
